Finestra,Simbolo,DataOra,Close
LEGALE,EURUSD,2025.07.03 07:00,1.17894
LEGALE,EURUSD,2025.07.03 08:00,1.17962
LEGALE,EURUSD,2025.07.03 09:00,1.18025
LEGALE,EURUSD,2025.07.03 10:00,1.18013
LEGALE,EURUSD,2025.07.03 11:00,1.17981
LEGALE,EURUSD,2025.07.03 12:00,1.17925
LEGALE,EURUSD,2025.07.03 13:00,1.17933
LEGALE,EURUSD,2025.07.03 14:00,1.17847
LEGALE,EURUSD,2025.07.03 15:00,1.17384
LEGALE,EURUSD,2025.07.03 16:00,1.17741
LEGALE,EURUSD,2025.07.03 17:00,1.17532
LEGALE,EURUSD,2025.07.03 18:00,1.17570
LEGALE,EURUSD,2025.07.03 19:00,1.17523
LEGALE,EURUSD,2025.07.03 20:00,1.17541
LEGALE,EURUSD,2025.07.03 21:00,1.17490
LEGALE,EURUSD,2025.07.03 22:00,1.17478
LEGALE,EURUSD,2025.07.03 23:00,1.17575
LEGALE,EURUSD,2025.07.04 00:00,1.17569
LEGALE,EURUSD,2025.07.04 01:00,1.17596
LEGALE,EURUSD,2025.07.04 02:00,1.17691
LEGALE,EURUSD,2025.07.04 03:00,1.17669
LEGALE,EURUSD,2025.07.04 04:00,1.17596
LEGALE,EURUSD,2025.07.04 05:00,1.17655
LEGALE,EURUSD,2025.07.04 06:00,1.17701
LEGALE,EURUSD,2025.07.04 07:00,1.17800
LEGALE,EURUSD,2025.07.04 08:00,1.17843
LEGALE,EURUSD,2025.07.04 09:00,1.17811
LEGALE,EURUSD,2025.07.04 10:00,1.17697
LEGALE,EURUSD,2025.07.04 11:00,1.17745
LEGALE,EURUSD,2025.07.04 12:00,1.17784
LEGALE,EURUSD,2025.07.04 13:00,1.17778
LEGALE,EURUSD,2025.07.04 14:00,1.17689
LEGALE,EURUSD,2025.07.04 15:00,1.17666
LEGALE,EURUSD,2025.07.04 16:00,1.17795
LEGALE,EURUSD,2025.07.04 17:00,1.17785
LEGALE,EURUSD,2025.07.04 18:00,1.17786
LEGALE,EURUSD,2025.07.04 19:00,1.17745
LEGALE,EURUSD,2025.07.04 20:00,1.17757
LEGALE,EURUSD,2025.07.04 21:00,1.17790
LEGALE,EURUSD,2025.07.04 22:00,1.17750
LEGALE,EURUSD,2025.07.04 23:00,1.17746
LEGALE,EURUSD,2025.07.07 00:00,1.17781
LEGALE,EURUSD,2025.07.07 01:00,1.17801
LEGALE,EURUSD,2025.07.07 02:00,1.17802
LEGALE,EURUSD,2025.07.07 03:00,1.17800
LEGALE,EURUSD,2025.07.07 04:00,1.17720
LEGALE,EURUSD,2025.07.07 05:00,1.17675
LEGALE,EURUSD,2025.07.07 06:00,1.17691
LEGALE,EURUSD,2025.07.07 07:00,1.17661
LEGALE,EURUSD,2025.07.07 08:00,1.17715
LEGALE,EURUSD,2025.07.07 09:00,1.17559
LEGALE,EURUSD,2025.07.07 10:00,1.17455
