idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
408;LONG;1.43;UP;860;0;2290;0.00;1.68;75
409;LONG;0.09;UP;1880;1140;2010;0.48;0.84;75
410;SHORT;-1.00;UP;1700;2240;3410;1.02;1.55;64
411;SHORT;-1.00;UP;1960;2560;250;1.04;0.10;8
412;LONG;1.01;UP;2030;1670;3670;0.66;1.45;75
413;SHORT;-1.00;UP;3330;3880;0;1.01;0.00;6
414;SHORT;-1.00;DOWN;2090;3250;0;1.25;0.00;1
415;SHORT;-1.00;DOWN;2220;2810;0;1.03;0.00;1
416;LONG;-1.00;DOWN;1780;2490;320;1.09;0.14;5
417;LONG;-1.00;UP;1240;1750;1630;1.01;0.94;15
418;SHORT;-1.00;UP;2470;3390;980;1.14;0.33;40
419;SHORT;-1.00;UP;640;1350;150;1.18;0.13;8
420;LONG;-1.00;UP;1560;2530;1220;1.23;0.59;25
421;SHORT;-0.63;UP;2020;2110;830;0.84;0.33;57
422;LONG;2.00;UP;1180;570;3470;0.34;2.07;16
423;LONG;-1.00;UP;1910;2490;480;1.03;0.20;11
424;LONG;0.72;UP;1870;1540;3520;0.65;1.49;69
425;LONG;1.29;UP;960;400;2450;0.27;1.68;70
426;SHORT;0.77;UP;2250;820;2690;0.30;0.98;75
427;LONG;1.19;DOWN;1940;1550;4590;0.64;1.88;73
428;SHORT;2.00;UP;2560;960;6160;0.31;2.01;34
429;SHORT;-1.00;DOWN;3100;3810;610;1.06;0.17;12
430;LONG;-1.00;DOWN;2080;4250;1150;1.65;0.45;5
431;LONG;-1.00;DOWN;4710;5880;1940;1.13;0.37;17
432;LONG;-1.00;DOWN;2770;4250;2180;1.30;0.67;14
433;SHORT;-1.00;UP;4970;5510;310;1.01;0.06;6
434;LONG;0.39;UP;1700;1290;2890;0.59;1.31;75
435;SHORT;2.00;UP;1180;1230;4050;0.73;2.41;64
436;LONG;-1.00;UP;1350;1980;0;1.07;0.00;2
437;SHORT;-1.00;DOWN;680;1210;0;1.03;0.00;10
438;LONG;-1.00;UP;2490;3780;0;1.26;0.00;3
439;LONG;-0.43;DOWN;3120;2070;4230;0.57;1.17;75
440;LONG;-1.00;DOWN;2960;3850;2520;1.11;0.73;41
441;SHORT;-0.12;DOWN;5380;4120;4250;0.70;0.72;75
442;LONG;2.00;DOWN;2800;0;6750;0.00;2.05;21
443;LONG;-1.00;DOWN;3900;5110;260;1.16;0.06;4
