idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
35;LONG;-1.00;DOWN;1550;2150;0;1.05;0.00;1
36;LONG;-1.00;DOWN;1650;2750;1500;1.28;0.70;14
37;LONG;-1.00;DOWN;1050;1610;1050;1.04;0.68;15
38;SHORT;2.00;DOWN;1040;810;3500;0.53;2.27;4
39;LONG;0.64;DOWN;1610;0;3390;0.00;1.61;20
40;LONG;2.00;DOWN;1520;30;4440;0.01;2.20;4
41;LONG;2.00;DOWN;2020;2180;5200;0.87;2.06;70
42;LONG;-1.00;DOWN;2100;5510;100;2.12;0.04;6
43;SHORT;-0.49;DOWN;1350;550;1610;0.30;0.87;4
44;SHORT;-1.00;DOWN;1000;2650;1320;1.77;0.88;10
45;LONG;2.00;DOWN;3610;600;8270;0.15;2.01;53
46;LONG;-1.00;UP;930;1550;520;1.08;0.36;5
47;SHORT;-1.00;UP;1570;2100;0;1.01;0.00;6
48;LONG;1.67;UP;1720;620;1280;0.28;0.58;5
49;LONG;2.00;UP;1820;920;5260;0.40;2.27;16
50;LONG;2.00;UP;1370;0;4150;0.00;2.22;3
51;SHORT;1.32;UP;2130;1040;3550;0.40;1.35;86
52;SHORT;-1.00;UP;1370;1930;1240;1.03;0.66;13
53;LONG;-1.00;UP;1620;2180;640;1.03;0.30;11
54;LONG;2.00;UP;930;970;2990;0.68;2.09;14
55;SHORT;-1.00;UP;650;1880;1600;1.63;1.39;7
56;SHORT;-1.00;DOWN;1050;1580;1290;1.02;0.83;17
57;LONG;-1.00;UP;880;1590;1080;1.15;0.78;7
58;LONG;2.00;DOWN;970;1210;3640;0.82;2.48;12
59;SHORT;2.00;DOWN;1300;0;3670;0.00;2.04;10
60;SHORT;2.00;DOWN;850;260;2820;0.19;2.09;10
61;LONG;-1.00;DOWN;1300;2050;1070;1.14;0.59;9
62;LONG;-1.00;DOWN;670;2700;130;2.31;0.11;7
63;SHORT;-1.00;UP;720;1570;150;1.29;0.12;5
64;SHORT;-1.00;DOWN;950;1470;1390;1.01;0.96;11
65;LONG;-1.00;UP;2450;3200;100;1.08;0.03;4
66;LONG;-1.00;UP;1170;2770;580;1.66;0.35;7
67;LONG;2.00;DOWN;1330;1470;3680;0.80;2.01;46
68;LONG;2.00;UP;950;380;3340;0.26;2.30;9
69;LONG;-1.00;UP;1200;5480;1970;3.22;1.16;43
70;SHORT;-1.00;UP;930;1810;1920;1.27;1.34;7
71;SHORT;-1.00;UP;1080;2160;370;1.37;0.23;4
72;SHORT;-0.83;UP;2550;2790;4300;0.91;1.41;99
73;LONG;-1.00;UP;1400;1920;1800;1.01;0.95;60
74;LONG;-1.00;UP;1270;2700;50;1.53;0.03;9
75;LONG;3.32;UP;2670;0;1640;0.00;0.52;6
76;LONG;2.00;UP;1370;390;3750;0.21;2.01;10
77;LONG;-1.00;UP;1200;1790;680;1.05;0.40;24
78;LONG;-1.00;UP;890;1610;980;1.16;0.71;7
79;SHORT;-1.00;UP;1000;1920;450;1.28;0.30;4
80;LONG;2.00;UP;1340;1400;4190;0.76;2.28;71
81;LONG;-1.00;UP;2920;3940;3720;1.15;1.09;88
82;SHORT;-1.00;UP;3470;4310;1510;1.09;0.38;87
83;SHORT;-1.00;UP;2740;3350;0;1.03;0.00;9
84;SHORT;0.79;UP;2570;1060;4680;0.35;1.52;99
85;LONG;2.00;UP;1070;530;3380;0.34;2.15;40
86;LONG;-1.00;UP;1430;1970;3500;1.02;1.81;85
87;LONG;2.00;UP;1920;0;5140;0.00;2.12;3
88;LONG;-1.00;UP;1250;1830;2600;1.05;1.49;11
89;LONG;-1.00;UP;2020;2970;1180;1.18;0.47;92
90;SHORT;-1.00;UP;1400;2120;470;1.12;0.25;8
91;SHORT;-1.00;UP;800;1870;0;1.44;0.00;2
92;LONG;-1.00;UP;920;1470;1760;1.04;1.24;18
93;SHORT;-1.00;UP;620;2350;350;2.10;0.31;6
94;SHORT;-1.00;UP;580;1100;0;1.02;0.00;4
95;LONG;-1.00;UP;1580;3120;400;1.50;0.19;7
96;LONG;2.00;UP;2270;1430;5560;0.52;2.01;28
97;SHORT;-1.00;UP;700;1450;1010;1.21;0.84;25
98;SHORT;-1.00;UP;1450;2360;0;1.21;0.00;8
99;SHORT;2.00;UP;750;1060;2720;0.85;2.18;37
100;LONG;-1.00;UP;1990;3170;2820;1.27;1.13;85
101;LONG;-1.00;UP;920;1440;0;1.01;0.00;3
102;SHORT;2.00;UP;2020;1200;5920;0.48;2.35;11
103;LONG;-1.00;DOWN;1800;2420;80;1.05;0.03;7
104;SHORT;-1.00;DOWN;1320;3070;620;1.69;0.34;6
105;SHORT;-1.00;UP;1890;2710;2210;1.13;0.92;17
106;LONG;2.00;DOWN;1600;110;4380;0.05;2.09;15
107;SHORT;-1.00;UP;1820;3070;400;1.32;0.17;8
108;SHORT;2.00;UP;3670;1480;9710;0.35;2.33;78
109;SHORT;-1.00;UP;2900;3430;3940;1.01;1.16;23
110;SHORT;2.00;UP;3370;1850;7920;0.48;2.05;19
111;LONG;-1.00;UP;3030;4740;770;1.34;0.22;10
112;SHORT;2.00;UP;1930;1830;5430;0.75;2.23;18
113;LONG;-1.00;DOWN;1830;2430;3280;1.04;1.41;32
114;SHORT;-1.00;DOWN;2050;2620;0;1.03;0.00;5
115;LONG;-1.00;DOWN;2370;2900;0;1.01;0.00;7
116;SHORT;-1.00;DOWN;2120;3120;1900;1.19;0.73;5
117;SHORT;-1.00;DOWN;1750;2820;50;1.25;0.02;8
118;SHORT;-1.00;UP;1520;2150;0;1.06;0.00;3
119;SHORT;-1.00;UP;1950;2660;1670;1.09;0.68;14
120;SHORT;2.00;UP;900;1160;3470;0.83;2.48;20
121;SHORT;2.00;DOWN;1400;490;4140;0.26;2.18;15
122;LONG;-1.00;DOWN;1300;2350;930;1.31;0.52;8
123;LONG;2.00;DOWN;1940;1120;4920;0.46;2.02;14
124;LONG;-1.00;UP;1230;2300;1100;1.33;0.64;10
125;SHORT;-1.00;DOWN;2200;2990;4020;1.11;1.49;21
126;LONG;-1.00;DOWN;1450;2020;0;1.04;0.00;5
127;LONG;-1.00;DOWN;4190;4810;0;1.03;0.00;5
128;SHORT;-1.00;DOWN;2880;4010;1720;1.19;0.51;21
129;SHORT;-0.91;DOWN;3720;4380;2740;1.04;0.65;92
130;LONG;-1.00;DOWN;4750;5370;1700;1.02;0.32;29
131;SHORT;2.00;DOWN;3260;3390;8660;0.90;2.30;29
132;LONG;2.00;DOWN;10380;5710;36810;0.52;3.38;83
133;LONG;-1.00;DOWN;5470;6470;0;1.08;0.00;2
134;LONG;-1.00;DOWN;7700;13900;5810;1.70;0.71;45
135;SHORT;1.55;UP;13670;2670;22490;0.19;1.59;99
136;SHORT;2.00;DOWN;5710;370;13170;0.06;2.12;16
137;LONG;-0.05;DOWN;5030;4500;3570;0.81;0.65;92
138;LONG;1.00;DOWN;5420;2760;7030;0.47;1.19;91
139;SHORT;-1.00;DOWN;2210;4040;2570;1.49;0.95;14
140;LONG;-1.00;DOWN;2990;3880;820;1.11;0.23;20
141;SHORT;-1.00;DOWN;4670;6020;2130;1.16;0.41;89
142;LONG;2.00;UP;4310;0;11860;0.00;2.47;76
143;SHORT;-1.00;UP;2570;3370;870;1.10;0.28;24
144;SHORT;-1.00;UP;2900;4200;1620;1.24;0.48;36
145;LONG;-0.46;UP;2070;2080;3200;0.81;1.25;98
146;SHORT;-0.19;UP;3090;1700;2090;0.47;0.58;57
147;SHORT;-1.00;UP;2900;3450;120;1.01;0.04;30
148;SHORT;-1.00;UP;3550;5250;720;1.30;0.18;58
149;SHORT;-0.13;UP;1620;1650;1340;0.78;0.63;82
150;SHORT;2.00;UP;2310;480;6250;0.17;2.22;24
151;SHORT;1.08;UP;2190;1470;4070;0.55;1.51;96
152;SHORT;-1.00;UP;2220;3560;150;1.31;0.06;9
153;LONG;-1.00;UP;2710;3270;0;1.02;0.00;8
154;LONG;-0.13;UP;8780;6720;1730;0.72;0.19;75
155;LONG;0.49;UP;2200;1590;1920;0.59;0.71;98
156;SHORT;0.76;UP;2020;410;5020;0.16;1.99;99
157;LONG;1.13;UP;2140;1190;3100;0.45;1.17;87
158;LONG;-1.00;UP;1310;2180;2690;1.20;1.49;63
159;SHORT;-1.00;UP;2620;3120;1420;1.00;0.46;68
160;SHORT;-1.00;UP;1440;1970;1030;1.02;0.53;33
161;LONG;-1.00;UP;1590;2950;0;1.41;0.00;16
162;SHORT;-0.12;UP;2250;470;5240;0.17;1.91;97
163;SHORT;2.00;UP;2530;1010;13670;0.33;4.51;41
164;SHORT;-0.56;DOWN;2400;2140;1210;0.74;0.42;99
165;LONG;0.41;DOWN;1480;150;3340;0.08;1.69;99
166;LONG;-1.00;DOWN;2320;2850;950;1.01;0.34;22
167;LONG;-1.00;UP;1850;2540;0;1.08;0.00;5
168;LONG;-1.00;DOWN;2860;3870;2590;1.15;0.77;88
169;SHORT;-1.00;DOWN;3890;4490;2850;1.02;0.65;93
170;SHORT;2.00;DOWN;1680;0;4480;0.00;2.06;11
171;LONG;0.09;UP;2060;1930;4100;0.75;1.60;91
172;LONG;-1.00;UP;1900;3150;2960;1.31;1.23;70
173;SHORT;-1.00;DOWN;1680;2900;970;1.33;0.44;63
174;SHORT;-1.00;DOWN;1850;2450;260;1.04;0.11;19
175;LONG;-1.00;DOWN;1800;2440;1450;1.06;0.63;13
176;LONG;-1.00;UP;2950;3650;810;1.06;0.23;39
177;SHORT;-1.00;DOWN;1760;2530;3100;1.12;1.37;66
178;LONG;-0.10;DOWN;3600;2970;2700;0.72;0.66;96
179;LONG;0.46;DOWN;3230;2180;4380;0.58;1.17;99
180;SHORT;-1.00;DOWN;2740;3420;1910;1.06;0.59;15
181;LONG;-1.00;DOWN;2100;2670;770;1.03;0.30;12
182;SHORT;1.24;DOWN;2320;2230;3740;0.79;1.33;93
183;LONG;-1.00;DOWN;1690;2230;1300;1.02;0.59;19
184;LONG;-1.00;DOWN;2950;4120;3480;1.19;1.01;51
185;SHORT;0.72;DOWN;3370;1060;3730;0.27;0.96;98
186;LONG;-1.00;DOWN;2350;2970;1290;1.04;0.45;15
187;SHORT;2.00;DOWN;1720;740;4490;0.33;2.02;77
188;LONG;1.64;DOWN;2770;0;5570;0.00;1.70;99
189;SHORT;1.25;UP;1870;1180;3670;0.50;1.55;99
190;SHORT;-0.35;UP;2090;1630;4110;0.63;1.59;98
191;SHORT;-1.00;UP;2460;3530;1380;1.19;0.47;13
192;LONG;-1.00;UP;1420;2230;30;1.16;0.02;5
193;SHORT;-0.26;UP;2450;2040;3020;0.69;1.02;96
194;SHORT;-1.00;UP;1820;2480;490;1.07;0.21;30
195;SHORT;-1.00;UP;2860;3450;1730;1.03;0.51;78
196;LONG;2.00;UP;1360;270;4220;0.15;2.27;17
197;LONG;-1.00;UP;1330;1870;2290;1.02;1.25;62
198;SHORT;0.95;UP;2400;1280;4010;0.44;1.38;94
199;LONG;0.61;DOWN;2330;1730;2050;0.61;0.72;99
200;LONG;-1.00;UP;1240;1800;980;1.03;0.56;24
201;LONG;-1.16;DOWN;1850;2720;2790;1.16;1.19;99
202;LONG;-1.00;UP;2170;2710;0;1.01;0.00;13
203;SHORT;-1.00;UP;1550;2100;0;1.02;0.00;5
204;SHORT;2.00;UP;1870;60;4770;0.03;2.01;67
205;SHORT;1.09;DOWN;1600;780;3830;0.37;1.82;96
206;SHORT;-1.00;UP;2770;3480;1000;1.06;0.31;14
