idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
342;SHORT;2.00;UP;4010;1500;9410;0.33;2.09;8
343;SHORT;-1.00;UP;6500;20680;7500;2.95;1.07;9
344;SHORT;2.00;UP;7050;4700;16820;0.62;2.23;9
345;LONG;2.00;DOWN;8550;0;29530;0.00;3.26;1
346;SHORT;2.00;UP;3950;1680;12070;0.38;2.71;10
347;LONG;2.00;UP;6000;3150;26230;0.48;4.04;9
348;LONG;-1.00;UP;19950;22020;3230;1.08;0.16;13
349;SHORT;-1.00;UP;9540;19670;460;1.96;0.05;2
350;SHORT;-1.00;DOWN;15000;16780;28320;1.08;1.83;8
351;SHORT;2.00;UP;2600;0;6910;0.00;2.23;3
352;SHORT;-1.00;DOWN;4050;12850;1700;2.82;0.37;1
353;SHORT;2.00;UP;8100;5380;18420;0.63;2.14;9
354;SHORT;-1.00;DOWN;8150;9830;11270;1.14;1.30;5
355;SHORT;-1.00;DOWN;12050;44330;12170;3.53;0.97;15
356;LONG;2.00;DOWN;4400;2200;28180;0.45;5.75;9
357;LONG;-1.00;DOWN;6200;6900;4000;1.03;0.60;6
358;LONG;2.00;DOWN;2420;320;6110;0.11;2.09;3
359;SHORT;-1.00;UP;3640;4940;0;1.19;0.00;5
360;LONG;-1.00;DOWN;12150;17870;0;1.41;0.00;1
361;SHORT;-1.00;DOWN;6250;10280;5400;1.52;0.80;7
362;SHORT;2.00;DOWN;15250;13080;32120;0.83;2.04;18
363;LONG;-1.00;DOWN;5700;6950;3650;1.12;0.59;8
364;SHORT;2.00;DOWN;8500;8680;20820;0.96;2.31;14
365;SHORT;2.00;DOWN;18100;0;43370;0.00;2.33;10
366;SHORT;-1.00;DOWN;29500;32300;18350;1.08;0.61;17
367;SHORT;-1.00;DOWN;23500;27150;9800;1.13;0.41;8
368;SHORT;0.40;DOWN;22850;20550;29900;0.88;1.28;75
369;SHORT;-1.00;DOWN;17650;20200;400;1.11;0.02;3
370;SHORT;1.57;DOWN;23290;8590;39400;0.36;1.66;71
371;LONG;-1.00;DOWN;18400;21100;14700;1.12;0.78;12
372;SHORT;1.07;DOWN;19730;390;25260;0.02;1.25;70
373;SHORT;2.00;DOWN;17000;10100;40000;0.58;2.29;58
374;LONG;-1.00;DOWN;22300;26800;6900;1.18;0.30;8
375;LONG;-1.00;DOWN;16900;19000;0;1.09;0.00;3
376;LONG;-1.00;DOWN;32000;39000;23350;1.20;0.72;31
377;LONG;2.00;DOWN;16150;0;40950;0.00;2.46;10
378;SHORT;0.32;UP;21850;6230;33520;0.28;1.50;75
379;LONG;-1.00;DOWN;23850;28030;16950;1.15;0.70;30
380;SHORT;1.44;DOWN;26300;24300;42700;0.91;1.59;73
381;SHORT;1.16;DOWN;20000;20400;36300;1.00;1.77;75
382;LONG;-1.00;DOWN;23300;26100;12000;1.10;0.50;13
383;SHORT;-1.00;UP;21500;26100;3200;1.19;0.15;13
384;LONG;2.00;DOWN;13900;0;32000;0.00;2.22;8
385;LONG;0.42;UP;23000;13500;12900;0.57;0.55;73
386;SHORT;-1.00;UP;27800;30600;11300;1.08;0.40;72
387;LONG;-1.00;UP;13600;17000;0;1.21;0.00;1
388;LONG;2.00;UP;12500;9200;39600;0.71;3.05;27
389;SHORT;0.58;UP;20500;11000;16200;0.52;0.77;75
390;LONG;2.00;UP;17200;7300;36100;0.41;2.04;61
391;LONG;0.33;UP;26100;6700;14500;0.25;0.55;71
392;SHORT;0.04;UP;24800;5700;16700;0.23;0.66;75
393;SHORT;-0.45;UP;14900;8500;18800;0.55;1.22;75
394;LONG;0.52;UP;25500;1300;40000;0.05;1.54;73
395;LONG;-1.00;UP;13000;14300;0;1.06;0.00;10
396;LONG;-1.00;UP;11900;13200;9500;1.06;0.77;10
397;LONG;-1.00;UP;14000;15900;5500;1.10;0.38;30
398;LONG;-1.00;UP;14900;16500;15400;1.07;1.00;36
399;SHORT;-0.56;UP;24600;19800;2100;0.79;0.08;75
400;SHORT;-0.17;UP;21700;18500;11000;0.83;0.50;75
401;SHORT;0.75;UP;13900;4700;16600;0.33;1.15;75
402;SHORT;-0.06;UP;27600;15300;16300;0.54;0.58;75
403;LONG;2.00;UP;20400;7900;45100;0.38;2.16;58
