simbolo,ora_server,campioni,giornate,scartati,overflow,mediana_punti,p95_punti,p99_punti,media_punti,max_punti,mediana_unita,p95_unita,max_unita,unita,punti_per_unita,da_symbol_spread
USDJPY,7,3600,5,0,0,3,8,8,4.06,8,0.300,0.800,0.800,pip,10,0
USDJPY,8,3596,5,0,0,3,8,8,4.33,8,0.300,0.800,0.800,pip,10,0
USDJPY,9,3596,5,0,0,3,8,8,4.15,8,0.300,0.800,0.800,pip,10,0
USDJPY,10,3580,5,0,0,3,8,8,3.45,8,0.300,0.800,0.800,pip,10,0
USDJPY,11,3562,5,0,0,3,8,8,4.00,10,0.300,0.800,1.000,pip,10,0
USDJPY,12,3567,5,0,0,3,8,8,3.83,8,0.300,0.800,0.800,pip,10,0
USDJPY,13,3564,5,0,0,4,8,8,4.60,82,0.400,0.800,8.200,pip,10,0
USDJPY,14,3578,5,0,0,3,8,8,3.63,8,0.300,0.800,0.800,pip,10,0
USDJPY,15,3597,5,0,0,3,8,8,4.04,8,0.300,0.800,0.800,pip,10,0
USDJPY,16,3600,5,0,0,3,8,8,3.28,8,0.300,0.800,0.800,pip,10,0
USDJPY,17,3600,5,0,0,3,9,9,4.19,9,0.300,0.900,0.900,pip,10,0
USDJPY,18,3600,5,0,0,3,9,9,4.11,9,0.300,0.900,0.900,pip,10,0
USDJPY,19,3597,5,0,0,3,9,9,4.18,9,0.300,0.900,0.900,pip,10,0
USDJPY,20,3589,5,5,0,3,9,9,4.13,9,0.300,0.900,0.900,pip,10,0
USDJPY,21,3276,6,102,0,4,13,16,6.27,21,0.400,1.300,2.100,pip,10,0
USDJPY,22,2567,5,420,0,68,90,90,73.84,90,6.800,9.000,9.000,pip,10,0
USDJPY,23,3599,5,0,0,3,9,10,3.94,90,0.300,0.900,9.000,pip,10,0
XAUUSD,0,3515,5,84,0,27,28,28,25.69,28,0.270,0.280,0.280,punti indice,100,0
XAUUSD,1,3600,5,0,0,27,28,28,25.55,28,0.270,0.280,0.280,punti indice,100,0
XAUUSD,2,3600,5,0,0,27,28,28,25.96,28,0.270,0.280,0.280,punti indice,100,0
XAUUSD,3,3600,5,0,0,26,28,28,25.20,28,0.260,0.280,0.280,punti indice,100,0
XAUUSD,4,3600,5,0,0,26,28,28,25.11,28,0.260,0.280,0.280,punti indice,100,0
XAUUSD,5,3600,5,0,0,25,28,28,24.66,28,0.250,0.280,0.280,punti indice,100,0
XAUUSD,6,3585,5,0,0,27,28,28,25.80,28,0.270,0.280,0.280,punti indice,100,0
XAUUSD,7,3600,5,0,0,21,24,24,20.38,24,0.210,0.240,0.240,punti indice,100,0
