data;ampiezza_notte_pts;ora_massimo;ora_minimo;ordine;escursione_ora_2_pts;quota_su_notte_%;sessione_rompe;punti_oltre
2025.04.09;6126;6;23;MIN poi MAX;2223;36.3;MAX;4242
2025.04.10;4295;4;23;MIN poi MAX;1875;43.7;MAX;2522
2025.04.13;3229;3;23;MIN poi MAX;2813;87.1;MIN;1974
2025.04.14;2255;5;2;MIN poi MAX;1592;70.6;nessuno;0
2025.04.15;6101;6;23;MIN poi MAX;1916;31.4;MAX;4124
2025.04.16;3697;23;2;MAX poi MIN;3550;96.0;MIN;3669
2025.04.20;5464;6;23;MIN poi MAX;1113;20.4;MAX;4431
2025.04.21;8322;6;1;MIN poi MAX;3330;40.0;MIN;2718
2025.04.22;7102;2;23;MIN poi MAX;2778;39.1;MIN;5550
2025.04.23;6233;2;23;MIN poi MAX;3683;59.1;nessuno;0
2025.04.24;8365;23;6;MAX poi MIN;2029;24.3;MIN;2189
2025.04.27;6230;23;3;MAX poi MIN;3597;57.7;MAX;785
2025.04.28;4027;23;6;MAX poi MIN;1724;42.8;MIN;531
2025.04.29;2683;1;5;MAX poi MIN;1515;56.5;MIN;3446
2025.04.30;6663;23;5;MAX poi MIN;1694;25.4;MIN;1941
2025.05.01;3121;4;1;MIN poi MAX;624;20.0;MAX;1059
2025.05.04;3494;3;23;MIN poi MAX;2451;70.1;MAX;5632
2025.05.05;6355;3;1;MIN poi MAX;5207;81.9;MAX;1784
2025.05.06;6182;23;2;MAX poi MIN;2505;40.5;nessuno;0
2025.05.07;5990;3;6;MAX poi MIN;3071;51.3;MIN;5042
2025.05.08;5561;6;3;MIN poi MAX;3578;64.3;MAX;1730
2025.05.11;3639;23;2;MAX poi MIN;2328;64.0;MIN;5110
2025.05.12;4477;6;2;MIN poi MAX;2748;61.4;MAX;436
2025.05.13;3555;0;6;MAX poi MIN;1459;41.0;MIN;4677
2025.05.14;6937;2;6;MAX poi MIN;2136;30.8;MAX;2853
2025.05.15;4562;23;4;MAX poi MIN;2951;64.7;MIN;5225
2025.05.18;4314;1;5;MAX poi MIN;3226;74.8;nessuno;0
2025.05.19;2817;2;4;MAX poi MIN;1230;43.7;MAX;5298
2025.05.20;3431;6;2;MIN poi MAX;2930;85.4;MAX;48
2025.05.21;2993;4;23;MIN poi MAX;2260;75.5;MIN;3654
2025.05.22;3863;6;1;MIN poi MAX;1049;27.2;MAX;3902
2025.05.25;2543;3;1;MIN poi MAX;1205;47.4;MIN;789
2025.05.26;3439;1;6;MAX poi MIN;1536;44.7;MIN;3068
2025.05.27;2415;1;4;MAX poi MIN;1239;51.3;MAX;967
2025.05.28;4916;23;2;MAX poi MIN;2032;41.3;MAX;3646
2025.05.29;3260;2;6;MAX poi MIN;1458;44.7;MIN;1862
2025.06.01;2589;6;23;MIN poi MAX;1228;47.4;MAX;5359
2025.06.02;3581;0;6;MAX poi MIN;1272;35.5;MIN;2320
2025.06.03;2621;3;2;MIN poi MAX;2597;99.1;MIN;263
2025.06.04;2301;2;6;MAX poi MIN;1365;59.3;MAX;1933
2025.06.05;2127;6;23;MIN poi MAX;1253;58.9;MIN;3785
2025.06.08;2778;23;3;MAX poi MIN;1444;52.0;MAX;1444
2025.06.09;2607;0;3;MAX poi MIN;1703;65.3;MAX;2127
2025.06.10;2767;6;0;MIN poi MAX;977;35.3;MAX;1765
2025.06.11;2153;3;23;MIN poi MAX;1446;67.2;MIN;1818
2025.06.12;6499;4;23;MIN poi MAX;1956;30.1;MAX;230
2025.06.15;3350;1;6;MAX poi MIN;990;29.6;MIN;3540
2025.06.16;2943;1;4;MAX poi MIN;928;31.5;MIN;765
2025.06.17;2947;5;3;MIN poi MAX;1000;33.9;nessuno;0
2025.06.18;2782;2;6;MAX poi MIN;1351;48.6;MIN;951
2025.06.19;2792;23;6;MAX poi MIN;1220;43.7;MIN;71
2025.06.22;4195;23;6;MAX poi MIN;1612;38.4;MAX;454
2025.06.23;3717;23;6;MAX poi MIN;1221;32.8;MIN;3119
2025.06.24;1455;3;23;MIN poi MAX;862;59.2;MAX;188
2025.06.25;1398;4;2;MIN poi MAX;755;54.0;MAX;720
2025.06.26;3612;23;6;MAX poi MIN;728;20.2;MIN;3313
2025.06.29;4281;6;23;MIN poi MAX;1648;38.5;MAX;548
2025.06.30;3005;6;23;MIN poi MAX;713;23.7;MAX;2560
2025.07.01;1638;1;3;MAX poi MIN;1198;73.1;MIN;100
2025.07.02;2386;23;2;MAX poi MIN;638;26.7;MIN;3032
2025.07.03;1872;5;23;MIN poi MAX;790;42.2;MAX;193
2025.07.06;3676;23;5;MAX poi MIN;2098;57.1;MIN;877
2025.07.07;1856;23;5;MAX poi MIN;736;39.7;MIN;4020
2025.07.08;2302;1;4;MAX poi MIN;798;34.7;MIN;221
2025.07.09;1155;2;23;MIN poi MAX;995;86.1;MAX;400
2025.07.10;1984;6;23;MIN poi MAX;636;32.1;MAX;2705
2025.07.13;2030;0;3;MAX poi MIN;1310;64.5;MAX;97
2025.07.14;2385;6;23;MIN poi MAX;461;19.3;MAX;120
2025.07.15;1483;6;3;MIN poi MAX;616;41.5;MAX;3770
2025.07.16;1627;23;6;MAX poi MIN;734;45.1;MIN;2612
2025.07.17;1095;3;6;MAX poi MIN;769;70.2;MAX;1696
2025.07.20;2463;6;23;MIN poi MAX;667;27.1;MAX;3189
2025.07.21;1795;0;6;MAX poi MIN;1081;60.2;MIN;136
2025.07.22;2253;1;6;MAX poi MIN;963;42.7;MIN;3485
2025.07.23;1888;2;6;MAX poi MIN;931;49.3;MIN;2323
2025.07.24;1816;1;6;MAX poi MIN;630;34.7;MIN;3031
2025.07.27;2032;6;23;MIN poi MAX;888;43.7;MIN;2208
2025.07.28;1296;2;1;MIN poi MAX;1229;94.8;MAX;1328
2025.07.29;1188;1;2;MAX poi MIN;1149;96.7;MAX;35
2025.07.30;2523;6;23;MIN poi MAX;893;35.4;MAX;1327
2025.07.31;1883;6;2;MIN poi MAX;1198;63.6;MAX;5470
2025.08.03;1949;23;2;MAX poi MIN;861;44.2;MAX;2093
2025.08.04;1477;2;6;MAX poi MIN;442;29.9;MIN;1772
2025.08.05;1458;1;6;MAX poi MIN;1049;71.9;MIN;1250
2025.08.06;1880;3;1;MIN poi MAX;1245;66.2;MAX;1326
2025.08.07;2682;23;2;MAX poi MIN;985;36.7;MIN;51
2025.08.10;3424;23;2;MAX poi MIN;1632;47.7;MIN;2622
2025.08.11;1500;2;23;MIN poi MAX;1126;75.1;MAX;177
2025.08.12;1175;3;2;MIN poi MAX;943;80.3;MAX;1645
2025.08.13;1927;1;4;MAX poi MIN;569;29.5;MIN;2574
2025.08.14;1649;6;0;MIN poi MAX;699;42.4;nessuno;0
2025.08.17;3490;6;0;MIN poi MAX;777;22.3;nessuno;0
2025.08.18;1556;4;1;MIN poi MAX;540;34.7;MAX;369
2025.08.19;1238;6;2;MIN poi MAX;631;51.0;MAX;2634
2025.08.20;1508;23;6;MAX poi MIN;563;37.3;MIN;1186
2025.08.21;1343;23;6;MAX poi MIN;655;48.8;MIN;575
2025.08.24;1123;0;3;MAX poi MIN;718;63.9;MAX;525
2025.08.25;3526;1;1;MIN poi MAX;1313;37.2;MAX;285
2025.08.26;1959;1;5;MAX poi MIN;664;33.9;MIN;6
2025.08.27;1481;0;3;MAX poi MIN;739;49.9;MAX;1631
2025.08.28;1092;23;6;MAX poi MIN;573;52.5;MIN;274
2025.08.31;4902;4;2;MIN poi MAX;2211;45.1;nessuno;0
2025.09.01;3417;2;0;MIN poi MAX;3187;93.3;MIN;435
2025.09.02;2033;1;0;MIN poi MAX;981;48.3;MAX;2145
2025.09.03;5310;23;4;MAX poi MIN;1959;36.9;nessuno;0
2025.09.04;2107;6;23;MIN poi MAX;653;31.0;MAX;3879
2025.09.07;1757;2;5;MAX poi MIN;1223;69.6;MAX;4929
2025.09.08;3111;6;0;MIN poi MAX;1150;37.0;MAX;1548
2025.09.09;2500;6;2;MIN poi MAX;1240;49.6;MAX;1225
2025.09.10;2566;2;6;MAX poi MIN;926;36.1;MIN;1134
2025.09.11;2619;6;1;MIN poi MAX;1093;41.7;nessuno;0
2025.09.14;2025;5;2;MIN poi MAX;822;40.6;MAX;3769
2025.09.15;1485;2;3;MAX poi MIN;1245;83.8;MAX;1354
2025.09.16;2109;1;3;MAX poi MIN;1585;75.2;MIN;1420
2025.09.17;2259;0;6;MAX poi MIN;1690;74.8;MIN;2156
2025.09.18;2887;6;2;MIN poi MAX;1890;65.5;MAX;1477
2025.09.21;1629;6;23;MIN poi MAX;1002;61.5;MAX;3877
2025.09.22;2248;2;3;MAX poi MIN;1348;60.0;MAX;3189
2025.09.23;2623;6;3;MIN poi MAX;1658;63.2;MAX;237
2025.09.24;2190;1;3;MAX poi MIN;1746;79.7;MAX;1003
2025.09.25;1882;2;4;MAX poi MIN;1554;82.6;MAX;3048
2025.09.28;5112;6;23;MIN poi MAX;2081;40.7;MAX;1908
2025.09.29;4470;6;23;MIN poi MAX;1281;28.7;MIN;3245
2025.09.30;2077;3;23;MIN poi MAX;968;46.6;MAX;1982
