file;expert;ora_piena;data;ora;simbolo;lato;uscita;livello_richiesto;prezzo_eseguito;volume;profitto;scarto_sfav
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.17 16:20:53;2024.12.17;16;D30EUR;long;sl;20260.6;20257.3;52.5;-1139.25;3.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.18 20:15:53;2024.12.18;20;D30EUR;long;sl;20179.8;20179.5;15.8;-955.9;0.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.19 08:27:53;2024.12.19;8;D30EUR;long;tp;20046.0;20046.3;35.7;1902.81;-0.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.19 16:06:48;2024.12.19;16;D30EUR;long;sl;19966.5;19966.1;10.1;-964.55;0.4000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.19 18:08:28;2024.12.19;18;D30EUR;long;sl;19953.6;19953.6;28.7;-955.71;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.20 09:06:31;2024.12.20;9;D30EUR;long;sl;19778.0;19777.7;13.8;-945.3;0.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.20 10:08:21;2024.12.20;10;D30EUR;long;sl;19714.7;19714.3;23.8;-944.86;0.4000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.20 11:14:40;2024.12.20;11;D30EUR;long;sl;19701.7;19701.7;50.6;-925.98;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.23 09:00:00;2024.12.23;9;D30EUR;long;sl;19858.6;19858.6;86.6;-917.96;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.23 10:31:01;2024.12.23;10;D30EUR;long;tp;19886.1;19887.1;30.2;1842.2;-1.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.23 16:47:05;2024.12.23;16;D30EUR;long;sl;19819.1;19819.1;63.9;-926.55;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.27 09:02:55;2024.12.27;9;D30EUR;long;sl;19822.6;19820.7;19.5;-953.55;1.8999999999978172
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.27 15:47:28;2024.12.27;15;D30EUR;long;tp;19955.0;19955.3;18.7;1815.77;-0.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.30 14:14:47;2024.12.30;14;D30EUR;long;sl;19867.2;19866.9;20.3;-929.74;0.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.30 16:18:40;2024.12.30;16;D30EUR;long;sl;19774.4;19774.0;54.0;-934.2;0.4000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.02 18:38:18;2025.01.02;18;D30EUR;long;sl;19909.5;19909.5;11.5;-903.9;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.03 14:50:39;2025.01.03;14;D30EUR;long;sl;19892.5;19892.5;18.6;-894.66;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.03 17:07:39;2025.01.03;17;D30EUR;long;sl;19885.0;19885.0;37.6;-883.6;0.0
